Vijayawada,16.5193,80.6305
Chandigarh,30.75,76.78
Sendai,38.2682,140.8694
Barquisimeto,10.0678,-69.3467
Cartagena,10.4,-75.5
Jodhpur,26.28,73.02
Sanya,18.2533,109.5036
Niamey,13.515,2.1175
Maceio,-9.6658,-35.735
Odesa,46.4775,30.7326
Volgograd,48.7086,44.5147
Islamabad,33.6931,73.0639
Port-au-Prince,18.5333,-72.3333
Raipur,21.25,81.63
Arequipa,-16.4,-71.5333
Kota,25.18,75.83
Quetta,30.1833,67
Kathmandu,27.7172,85.324
Asmara,15.3228,38.925
Freetown,8.4844,-13.2344
Vientiane,17.9667,102.6
Jerusalem,31.7784,35.2066
Riga,56.9489,24.1064
Dushanbe,38.5367,68.78
Lome,6.1319,1.2228
Ashgabat,37.95,58.3833
Zagreb,45.8167,15.9833
Libreville,0.3903,9.4542
Cotonou,6.3667,2.4333
Pretoria,-25.7461,28.1881
Vilnius,54.6872,25.28
Chisinau,47.0228,28.8353
Port Moresby,-9.4789,147.1494
Skopje,41.9961,21.4317
Djibouti,11.5883,43.145
Kingston,17.9714,-76.7931
San Salvador,13.6989,-89.1914
Asuncion,-25.3,-57.6333
Juba,4.85,31.6
Bissau,11.85,-15.5667
Bratislava,48.1439,17.1097
Tallinn,59.4372,24.7453
Beirut,33.8869,35.5131
Cape Town,-33.9253,18.4239
Sarajevo,43.8564,18.4131
Wellington,-41.2889,174.7772
Banjul,13.4531,-16.5775
Canberra,-35.2931,149.1269
Victoria,48.4283,-123.3647
Nicosia,35.1725,33.365
Windhoek,-22.57,17.0836
Porto-Novo,6.4972,2.605
Ljubljana,46.0514,14.5061
Nassau,25.0781,-77.3386
Bloemfontein,-29.1167,26.2167
Gaborone,-24.6581,25.9122
Paramaribo,5.8522,-55.2039
Dodoma,-6.1731,35.7419
Georgetown,6.8058,-58.1508
Suva,-18.1416,178.4419
Noumea,-22.2758,166.458
Pristina,42.6633,21.1622
Port Louis,-20.1644,57.5042
Podgorica,42.4413,19.2629
Gitega,-3.4283,29.925
Reykjavik,64.1467,-21.94
Luxembourg,49.6117,6.1319
Bridgetown,13.0975,-59.6167
Moroni,-11.699,43.256
Thimphu,27.4722,89.6361
Mbabane,-26.3208,31.1617
Castries,14.0167,-60.9833
Bandar Seri Begawan,4.8903,114.9422
Apia,-13.8333,-171.75
Oranjestad,12.5186,-70.0358
George Town,19.2866,-81.3744
Victoria,-4.6167,55.45
Nuuk,64.1814,-51.6942
Torshavn,62,-6.7833
Hamilton,32.2942,-64.7839
Kingston,-29.0569,167.9617
Bareilly,28.364,79.415
Pekanbaru,0.5092,101.4453
Dnipro,48.4675,35.04
Gode,5.9527,43.5516
Natal,-6.9838,-60.2699
Kirkuk,35.4667,44.3167
Morelia,19.7683,-101.1894
Malaga,36.7194,-4.42
Coimbatore,11.0168,76.9558
Teresina,-5.0949,-42.8042
Solapur,17.68,75.92
Kermanshah,34.3142,47.065
Krasnodar,45.0333,38.9667
Aguascalientes,21.876,-102.296
Marrakech,31.63,-8.0089
Donetsk,48.0028,37.8053
Trujillo,-8.112,-79.0288
Padang,-0.95,100.3531
Campo Grande,-20.4839,-54.615
Lhasa,29.6534,91.1719
Cancun,21.1606,-86.8475
Merida,20.97,-89.62
Natal,-5.7833,-35.2
Chihuahua,28.6353,-106.0889
Sale,34.0333,-6.8
Marseille,43.2964,5.37
Bucaramanga,7.1333,-73
Saltillo,25.4231,-100.9919
Liverpool,53.4075,-2.9919
Ipoh,4.5972,101.075
Oran,35.6969,-0.6331
Southampton,50.9025,-1.4042
Hermosillo,29.0989,-110.9542
Wuxi,26.5895,111.8481
Ilorin,8.5,4.55
Saratov,51.5333,46.0167
Bhubaneshwar,20.27,85.84
Thessaloniki,40.6403,22.9347
Culiacan,24.8069,-107.3939
Joao Pessoa,-7.12,-34.88
Queretaro,20.5875,-100.3928
Krakow,50.0614,19.9372
George Town,5.4144,100.3292
Palermo,2.8917,-75.4375
Valencia,39.47,-0.3764
Leeds,53.8003,-1.5497
Bilbao,43.2569,-2.9236
Homs,34.7333,36.7167
Khujand,40.2833,69.6333
San Luis Potosi,22.1511,-100.9761
Dali,25.6808,100.3003
Rajshahi,24.3667,88.6
Erzurum,39.9086,41.2769
Frankfurt,50.1106,8.6822
Patiala,30.34,76.38
Samarinda,-0.5,117.1378
Cucuta,7.8942,-72.5039
Thiruvananthapuram,8.4875,76.9525
Nampula,-15.1167,39.2667
Kerman,30.2833,57.0833
Orumiyeh,37.5486,45.0675
Lviv,49.8425,24.0322
Reynosa,26.0922,-98.2778
Concepcion,-36.8282,-73.0514
Mwanza,-2.5167,32.9
Changsha,22.3762,112.6877
Torreon,25.5394,-103.4486
Shihezi,44.3054,86.0804
Enugu,6.4528,7.5111
Birmingham,33.5279,-86.7971
Banjarmasin,-3.32,114.5925
Salem,11.65,78.15
General Santos,6.1167,125.1667
Vellore,12.9165,79.1325
Hamilton,43.2567,-79.8692
Lodz,51.7769,19.4547
Kochi,9.97,76.28
Mar del Plata,-38,-57.55
Rasht,37.2808,49.5831
Gorakhpur,26.7637,83.4039
Zaragoza,41.65,-0.8833
Wroclaw,51.11,17.0325
Murcia,37.9861,-1.1303
Palermo,38.1157,13.3613
Villavicencio,4.15,-73.6333
Bouake,7.6833,-5.0167
Mazatlan,23.2167,-106.4167
Bulawayo,-20.17,28.58
Izhevsk,56.85,53.2167
Petaling Jaya,3.0972,101.6444
Gold Coast,-28.0167,153.4
Aracaju,-10.9167,-37.05
Barnaul,53.3333,83.75
Benghazi,32.1167,20.0667
Mangalore,12.902,74.8253
Glasgow,55.8611,-4.25
Ulyanovsk,54.3167,48.3667
Irkutsk,52.2833,104.2833
Pontianak,-0.0206,109.3414
Leipzig,51.34,12.375
Serang,-6.12,106.1503
Jambi,-1.59,103.61
Gothenburg,57.7075,11.9675
Vladivostok,43.1333,131.9
Kuantan,3.8167,103.3333
Haifa,32.8192,34.9992
Albany,42.6664,-73.7987
Garoua,9.3,13.4
Balikpapan,-1.2768,116.8277
Durban,-29.8833,31.05
Pereira,4.8143,-75.6946
Zahedan,29.4964,60.8628
Cuiaba,-15.5958,-56.0969
Essen,51.4508,7.0131
Port Sudan,19.6167,37.2167
Tomsk,56.4886,84.9522
Bristol,51.4536,-2.5975
Irbid,32.55,35.85
Bremen,53.0833,8.8
Orenburg,51.7667,55.1
Surakarta,-7.5667,110.8167
Dresden,51.05,13.74
Kemerovo,55.3667,86.0667
Herat,34.3419,62.2031
Ajmer,26.4499,74.6399
Rustenburg,-25.6667,27.2428
Poznan,52.4083,16.9336
Samarkand,39.6547,66.9758
Hannover,52.3667,9.7167
Valledupar,10.4833,-73.25
Ibague,4.4333,-75.2333
Kassala,15.45,36.4
Tripoli,34.4367,35.8344
Salta,-24.7833,-65.4167
Gulbarga,17.329,76.825
Lyon,45.76,4.84
Antwerp,51.2178,4.4003
Yazd,31.8822,54.3397
Ardabil,38.2425,48.29
Bikaner,28.0167,73.3119
Agartala,23.8333,91.2833
Ndola,-12.9667,28.6333
Penza,53.2,45
Arak,34.0917,49.6892
Sheffield,53.3808,-1.4703
Santa Marta,11.2419,-74.2053
Maturin,9.7423,-63.1889
Macapa,0.033,-51.0653
Monteria,8.75,-75.8833
Jammu,32.73,74.87
Kirov,58.6,49.65
Johor Bahru,1.4556,103.7611
Toulouse,43.6045,1.444
Kota Bharu,6.1333,102.25
Nyala,12.05,24.8833
Cheboksary,56.1333,47.25
Toledo,41.6638,-83.5827
Edinburgh,55.9533,-3.1892
Tula,54.2,37.6167
Gdansk,54.3475,18.6453
Sylhet,24.9,91.8667
Gaya,24.75,85.01
Florianopolis,-27.6122,-48.4853
Kaliningrad,54.7003,20.4531
San Juan,-31.5342,-68.5261
Piura,-5.2,-80.6333
Buraydah,26.3333,43.9667
Manado,1.4931,124.8413
Cranbourne,-38.0996,145.2834
Melaka,2.1944,102.2486
Kota Kinabalu,5.975,116.0725
